REGIMEN_LABORAL;CARGO;REMUNERACION MENSUAL;BENEFICIOS;female;male
3;4;2648.5;0;1;0
3;4;6409;0;0;1
3;4;2812.9;0;1;0
3;4;6409;0;0;1
3;2;4390;0;1;0
3;4;4390;0;0;1
3;3;3082;93;0;1
3;5;4590.73;93;1;0
3;2;11621;93;1;0
3;4;5297;0;1;0
3;5;4390;0;1;0
3;4;4390;0;0;1
3;4;5297;93;0;1
3;4;3082;0;1;0
3;4;4390;0;1;0
3;4;7789;0;0;1
3;4;3669;0;1;0
3;3;3669;0;1;0
3;5;3669;0;1;0
3;4;4390;0;1;0
3;5;3669;0;0;1
3;4;5297;0;1;0
3;4;14500;0;1;0
3;4;5297;0;0;1
3;4;4390;0;0;1
3;4;7789;0;1;0
3;1;9499;0;0;1
3;4;3669;93;0;1
3;4;5297;0;0;1
3;4;5297;0;1;0
3;5;4390;0;0;1
3;4;5297;93;1;0
3;4;3669;93;0;1
3;4;9499;0;1;0
3;1;7789;0;0;1
3;1;7789;93;0;1
3;4;5297;93;0;1
3;1;7789;93;0;1
3;1;14500;0;1;0
3;1;8017;93;1;0
3;5;7789;93;1;0
3;4;2648.5;0;1;0
3;2;11621;0;0;1
3;4;3001.63;0;0;1
3;4;4390;0;1;0
3;4;4390;93;1;0
3;2;9499;0;0;1
3;3;3082;231;0;1
3;3;3082;93;0;1
3;3;2227;0;0;1
3;3;2979.27;93;0;1
3;4;3669;0;1;0
3;4;3669;0;0;1
3;1;9499;0;0;1
3;4;3669;0;1;0
3;4;3669;0;0;1
3;4;5297;93;1;0
3;4;9499;0;0;1
3;3;3669;0;0;1
3;6;3669;93;0;1
3;3;3082;0;0;1
3;4;5297;93;0;1
3;3;2598;93;0;1
3;3;2227;0;1;0
3;3;2227;0;0;1
3;3;3082;0;0;1
3;4;6409;0;1;0
3;6;3669;0;0;1
3;4;5297;0;0;1
3;4;4390;93;0;1
3;6;3669;0;0;1
3;4;7789;0;0;1
3;5;2598;0;0;1
3;4;4390;0;1;0
3;4;3082;93;0;1
3;4;2648.5;0;1;0
3;6;3669;0;0;1
3;4;4390;0;1;0
3;4;5297;0;0;1
3;4;15196;0;0;1
3;4;7141;93;0;1
3;3;2423;0;1;0
3;4;3669;0;1;0
3;4;5297;0;1;0
3;3;2598;0;1;0
3;4;3669;0;1;0
3;3;3424.4;0;0;1
3;1;9499;93;0;1
3;5;2598;0;1;0
3;3;3082;0;1;0
3;4;9499;0;1;0
3;3;3082;0;0;1
3;4;5297;0;0;1
3;3;3082;0;0;1
3;4;4390;0;0;1
3;4;3669;0;0;1
3;3;2598;0;1;0
3;3;2227;0;1;0
3;4;3669;0;0;1
3;4;5297;93;1;0
3;6;3669;0;0;1
3;4;4390;93;0;1
3;4;2598;0;0;1
3;3;3082;0;1;0
3;3;3669;0;0;1
3;4;3669;346;1;0
3;6;3669;0;0;1
3;6;3669;93;0;1
3;3;2598;0;0;1
3;4;3082;93;0;1
3;4;3082;93;0;1
3;3;3082;0;0;1
3;1;9499;0;0;1
3;6;3669;93;1;0
3;4;4390;0;0;1
3;4;3669;93;0;1
3;4;5297;93;1;0
3;3;3082;0;0;1
3;4;4390;0;0;1
3;3;2598;0;0;1
3;6;3669;93;1;0
3;2;5297;0;0;1
3;3;2598;0;0;1
3;4;4390;0;0;1
3;4;5297;1606;0;1
3;4;4390;0;0;1
3;4;3669;0;0;1
3;4;5297;0;1;0
3;4;4390;0;1;0
3;3;1299;0;1;0
3;3;2598;0;0;1
3;1;7789;0;1;0
3;2;11621;0;1;0
3;4;5297;0;0;1
3;3;2598;0;0;1
3;5;5297;0;0;1
3;3;2598;0;1;0
3;4;5297;0;1;0
3;4;4390;0;1;0
3;2;11621;93;0;1
3;4;4390;93;1;0
3;4;5297;0;0;1
3;4;3669;93;0;1
3;4;7529.37;0;0;1
3;4;4390;0;1;0
3;4;6409;0;0;1
3;4;9499;0;1;0
